SPRINT 2 RATIO EDGE CASE LOG
============================================================

BAJAJ-AUTO | 2013-03 | ROE difference = 12.35% | Category: FORMULA_DISCREPANCY
BAJAJ-AUTO | 2014-03 | ROCE difference = 13.80% | Category: FORMULA_DISCREPANCY
BAJAJ-AUTO | 2014-03 | ROE difference = 6.74% | Category: FORMULA_DISCREPANCY
BAJAJ-AUTO | 2015-03 | ROCE difference = 5.37% | Category: FORMULA_DISCREPANCY
BAJAJ-AUTO | 2016-03 | ROCE difference = 8.85% | Category: FORMULA_DISCREPANCY
BAJAJ-AUTO | 2018-03 | ROE difference = 5.84% | Category: FORMULA_DISCREPANCY
BAJAJ-AUTO | 2019-03 | ROE difference = 5.29% | Category: FORMULA_DISCREPANCY
BAJAJ-AUTO | 2021-03 | ROCE difference = 9.74% | Category: FORMULA_DISCREPANCY
BAJAJ-AUTO | 2021-03 | ROE difference = 8.69% | Category: FORMULA_DISCREPANCY
BAJAJ-AUTO | 2022-03 | ROCE difference = 7.05% | Category: FORMULA_DISCREPANCY
BAJAJ-AUTO | 2022-03 | ROE difference = 5.85% | Category: FORMULA_DISCREPANCY
BAJAJ-AUTO | 2023-03 | ROCE difference = 5.80% | Category: FORMULA_DISCREPANCY
BAJAJ-AUTO | 2023-03 | ROE difference = 5.86% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2013-03 | ROE difference = 16.66% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2014-03 | ROCE difference = 5.55% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2014-03 | ROE difference = 11.81% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2015-03 | ROCE difference = 6.38% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2015-03 | ROE difference = 10.00% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2016-03 | ROCE difference = 7.57% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2016-03 | ROE difference = 8.69% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2017-03 | ROCE difference = 7.62% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2017-03 | ROE difference = 9.64% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2018-03 | ROCE difference = 8.62% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2018-03 | ROE difference = 8.67% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2019-03 | ROCE difference = 8.96% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2019-03 | ROE difference = 10.92% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2020-03 | ROCE difference = 9.62% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2020-03 | ROE difference = 7.43% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2021-03 | ROCE difference = 9.19% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2021-03 | ROE difference = 8.84% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2022-03 | ROCE difference = 10.48% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2022-03 | ROE difference = 8.94% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2023-03 | ROCE difference = 9.59% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2023-03 | ROE difference = 14.59% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2024-03 | ROCE difference = 9.43% | Category: FORMULA_DISCREPANCY
BAJAJFINSV | 2024-03 | ROE difference = 14.13% | Category: FORMULA_DISCREPANCY
BAJAJHLDNG | 2013-03 | ROCE difference = 9.96% | Category: FORMULA_DISCREPANCY
BAJAJHLDNG | 2014-03 | ROCE difference = 9.72% | Category: FORMULA_DISCREPANCY
BAJAJHLDNG | 2015-03 | ROCE difference = 9.22% | Category: FORMULA_DISCREPANCY
BAJAJHLDNG | 2016-03 | ROCE difference = 10.25% | Category: FORMULA_DISCREPANCY
BAJAJHLDNG | 2017-03 | ROCE difference = 9.53% | Category: FORMULA_DISCREPANCY
BAJAJHLDNG | 2022-03 | ROE difference = 5.17% | Category: FORMULA_DISCREPANCY
BAJFINANCE | 2015-03 | ROCE difference = 6.25% | Category: FORMULA_DISCREPANCY
BAJFINANCE | 2016-03 | ROCE difference = 6.54% | Category: FORMULA_DISCREPANCY
BAJFINANCE | 2017-03 | ROCE difference = 6.33% | Category: FORMULA_DISCREPANCY
BAJFINANCE | 2018-03 | ROCE difference = 6.87% | Category: FORMULA_DISCREPANCY
BAJFINANCE | 2018-03 | ROE difference = 6.35% | Category: FORMULA_DISCREPANCY
BAJFINANCE | 2019-03 | ROCE difference = 7.38% | Category: FORMULA_DISCREPANCY
BAJFINANCE | 2020-03 | ROCE difference = 6.23% | Category: FORMULA_DISCREPANCY
BAJFINANCE | 2020-03 | ROE difference = 5.82% | Category: FORMULA_DISCREPANCY
BAJFINANCE | 2021-03 | ROCE difference = 5.46% | Category: FORMULA_DISCREPANCY
BAJFINANCE | 2021-03 | ROE difference = 10.13% | Category: FORMULA_DISCREPANCY
BAJFINANCE | 2022-03 | ROCE difference = 6.20% | Category: FORMULA_DISCREPANCY
BAJFINANCE | 2022-03 | ROE difference = 6.02% | Category: FORMULA_DISCREPANCY
BAJFINANCE | 2023-03 | ROCE difference = 7.20% | Category: FORMULA_DISCREPANCY
BAJFINANCE | 2024-03 | ROCE difference = 7.54% | Category: FORMULA_DISCREPANCY
BANKBARODA | 2015-03 | ROE difference = 7.30% | Category: FORMULA_DISCREPANCY
BANKBARODA | 2016-03 | ROE difference = 28.54% | Category: VERSION_DIFFERENCE
BANKBARODA | 2017-03 | ROE difference = 12.39% | Category: FORMULA_DISCREPANCY
BANKBARODA | 2018-03 | ROE difference = 20.64% | Category: VERSION_DIFFERENCE
BANKBARODA | 2019-03 | ROE difference = 14.58% | Category: FORMULA_DISCREPANCY
